amfi_code,scheme_name,fund_house,category,benchmark,expense_ratio_pct,CAGR_1Y,CAGR_3Y,CAGR_5Y
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,NIFTY Midcap 50 TRI,1.38,22.26,35.11,
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY 100 TRI,1.46,20.36,34.0,
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,NIFTY 100 TRI,0.8,13.06,32.49,
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,NIFTY Midcap 150 TRI,1.38,53.23,32.44,
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY Midcap 150 TRI,1.36,29.6,31.78,
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,NIFTY 100 TRI,1.54,60.44,30.46,
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY 500 TRI,1.45,26.66,29.58,
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY 500 TRI,1.6,39.75,29.18,
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,NIFTY 100 TRI,1.6,47.92,28.97,
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,BSE 250 SmallCap TRI,1.52,65.14,27.0,
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,NIFTY Midcap 150 TRI,1.61,21.48,26.87,
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,BSE 250 SmallCap TRI,1.43,82.78,26.67,
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY 500 TRI,1.64,13.58,25.56,
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,NIFTY 100 TRI,1.51,33.98,22.65,
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,NIFTY 100 TRI,0.72,25.54,21.09,
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,NIFTY 100 TRI,0.75,19.77,20.82,
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,NIFTY 50 TRI,0.89,22.49,20.01,
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY 50 TRI,1.57,20.21,19.67,
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,NIFTY 100 TRI,0.92,28.68,18.43,
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY 500 TRI,1.41,41.82,18.42,
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,NIFTY 100 TRI,1.54,18.11,18.04,
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY 100 TRI,1.59,16.84,17.27,
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,NIFTY 100 TRI,0.66,5.71,16.27,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY Large Midcap 250 TRI,1.52,14.27,14.75,
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY 100 TRI,1.42,8.49,13.98,
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,NIFTY Midcap 150 TRI,0.78,15.44,11.25,
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,BSE 250 SmallCap TRI,1.53,15.81,8.01,
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY Midcap 150 TRI,1.56,22.5,7.76,
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,CRISIL Liquid Fund AI Index,0.74,7.43,7.39,
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,CRISIL Liquid Fund AI Index,0.6,7.12,6.7,
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,CRISIL Liquid Fund AI Index,0.79,7.24,6.32,
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,CRISIL Dynamic Gilt Index,0.77,5.52,5.84,
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,CRISIL Dynamic Gilt Index,0.55,10.45,4.06,
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,CRISIL Short Term Bond Index,0.56,3.7,3.92,
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,NIFTY 100 TRI,1.55,-2.22,1.29,
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,NIFTY 100 TRI,1.64,1.61,0.53,
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,NIFTY Midcap 150 TRI,1.51,-16.8,-0.77,
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,BSE 250 SmallCap TRI,0.72,13.95,-1.34,
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,BSE 250 SmallCap TRI,1.53,-23.99,-4.15,
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,BSE 250 SmallCap TRI,1.38,-42.8,-11.71,
