Overall_Rank,scheme_name,fund_house,CAGR_3Y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,Fund_Score
1,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,34.0,1.4482911703262602,0.2698375144191807,1.46,-0.11265729075028275,87.05128205128204
2,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,29.58,1.306743969542841,0.27330465038306057,1.45,-0.1297396816518679,82.6923076923077
3,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,31.78,1.18010119766065,0.2926358334175106,1.36,-0.18188513572116294,82.17948717948718
4,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,32.44,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848,81.02564102564101
5,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,32.49,1.0265242847993008,0.2119482701352573,0.8,-0.12588275606922517,79.87179487179488
6,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,35.11,0.9982309868636403,0.2607666908004223,1.38,-0.20960883862039192,77.17948717948718
7,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,30.46,1.2082665673727178,0.23201007160635082,1.54,-0.1501238549864533,76.66666666666667
8,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,29.18,1.2349300257743292,0.2827036785246582,1.6,-0.1639674294693263,75.8974358974359
9,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,28.97,1.0272133278753701,0.21399784776051212,1.6,-0.11291596329323073,70.25641025641025
10,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,26.87,1.1321218524747254,0.26598577542043045,1.61,-0.17248105753451382,68.97435897435896
11,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,26.67,0.9453082575156091,0.3033696538698332,1.43,-0.2870600572176455,67.6923076923077
12,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,27.0,0.949795824661604,0.3005787817097677,1.52,-0.31171900300634214,67.56410256410257
13,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,22.65,1.081659179345704,0.21829397904608644,1.51,-0.17414075086657232,67.05128205128206
14,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,16.27,0.9532794968660109,0.1986859936686296,0.66,-0.11803493502764295,65.12820512820512
15,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18.43,0.7757902498211207,0.17729754927531766,0.92,-0.15200013055606398,58.589743589743584
16,Nippon India ETF Nifty 50 BeES,Nippon India MF,20.01,0.6648569985490621,0.1513635464823924,0.89,-0.1165062450540909,58.333333333333336
17,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21.09,0.6452074382933218,0.15643835948169668,0.72,-0.18629743138595511,57.69230769230769
18,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,19.67,0.817099337349437,0.17048756803412696,1.57,-0.1085986215250232,56.53846153846154
19,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.75,0.9262873467360143,0.20873010086942337,1.52,-0.1527259422823477,53.97435897435897
20,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,13.98,0.7979728586052846,0.17703302365844073,1.42,-0.13897862823061635,53.58974358974359
21,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,18.42,0.6488787755249528,0.1625385327998104,1.41,-0.1982565826298267,51.02564102564103
22,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,25.56,0.6195175900829826,0.16211256794033255,1.64,-0.21539827112383225,48.07692307692307
23,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.39,0.49572339295331214,0.06746210411099539,0.74,-0.0009773140045925555,47.05128205128205
24,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,20.82,0.12961449795669322,0.08232801295222093,0.75,-0.21751396370148224,46.666666666666664
