amfi_code,scheme_name,fund_house,peak_date,bottom_date,max_drawdown
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,2023-01-17,2025-10-28,-0.5257422117012851
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,2025-05-22,2026-05-11,-0.5167775370852656
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,2024-11-21,2026-05-11,-0.3544691649336603
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,2024-05-03,2025-01-03,-0.31171900300634214
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,2024-08-28,2025-05-14,-0.2870600572176455
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,2025-01-07,2026-04-27,-0.2800112356639287
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,2022-03-30,2022-09-15,-0.24734440880673303
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,2023-11-09,2024-10-17,-0.24003511326274884
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,2025-04-09,2026-02-20,-0.2334488614483311
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,2022-02-24,2023-05-22,-0.21751396370148224
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,2022-01-03,2022-07-04,-0.21539827112383225
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,2025-04-04,2025-09-12,-0.21117279560132118
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,2022-04-14,2022-08-11,-0.20960883862039192
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,2023-03-31,2023-08-14,-0.1982565826298267
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,2023-10-30,2024-02-29,-0.18629743138595511
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,2024-10-24,2025-01-23,-0.18188513572116294
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,2024-01-09,2025-02-14,-0.1757361416468729
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,2024-01-02,2024-07-19,-0.17414075086657232
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,2022-06-06,2022-10-24,-0.17248105753451382
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,2023-08-10,2023-10-20,-0.1639674294693263
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,2022-03-11,2022-05-12,-0.16217208574644848
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,2023-09-05,2024-01-24,-0.1527259422823477
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,2023-12-22,2025-01-01,-0.15200013055606398
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,2023-08-24,2024-02-05,-0.1501238549864533
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,2022-01-03,2022-02-04,-0.14844576917771746
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,2023-10-12,2025-02-07,-0.1440161790933726
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,2023-09-19,2023-11-09,-0.13897862823061635
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2022-03-07,2022-04-13,-0.1297396816518679
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,2022-10-04,2023-05-30,-0.12588275606922517
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,2024-05-21,2024-09-02,-0.11803493502764295
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,2022-01-03,2022-06-09,-0.1165062450540909
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,2023-04-24,2023-07-05,-0.11291596329323073
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,2023-07-11,2023-10-20,-0.11265729075028275
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,2022-02-03,2022-03-29,-0.1085986215250232
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,2023-02-09,2024-02-09,-0.08316361763638702
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,2024-09-16,2025-04-01,-0.04328728923970093
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,2023-05-23,2023-07-28,-0.04308263824636349
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,2023-09-05,2023-09-12,-0.0016224980244717857
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,2024-04-12,2024-04-30,-0.0011629327956168556
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,2025-10-16,2025-10-20,-0.0009773140045925555
